Borough,Entry Weekday,Entry Saturday,Entry Sunday,Exit Weekday,Exit Saturday,Exit Sunday,Annual Entry + Exit in million
City of London,424168,142797,99112,429092,145899,95781,242.385659
Barking and Dagenham,54948,36441,24748,52289,33606,23318,33.609299
Barnet,105022,64984,45487,99655,59297,44891,63.578195
Bexley,0,0,0,0,0,0,0
Brent,156470,113815,79224,150211,104714,75672,98.092665
Bromley,0,0,0,0,0,0,0
Camden,486780,343616,263976,475064,335273,247580,308.830564
Croydon,0,0,0,0,0,0,0
Ealing,110353,73293,49431,105322,68298,48736,67.72036
Enfield,23521,18555,12554,22654,17225,12584,15.025977
Greenwich,40613,35817,28314,42343,36024,29738,28.148668
Hackney,13539,11134,8587,12569,9598,8442,8.688099
Hammersmith and Fulham,100911,73434,46592,95618,67136,45389,62.458356
Haringey,86444,63311,46371,82154,59366,45010,54.425977
Harrow,28038,17497,11412,28133,16737,11349,17.33433
Havering,10933,6496,2915,11532,5720,2942,6.66444
Hillingdon,37903,22628,13462,35365,20715,13180,22.362518
Hounslow,13151,9111,6295,13217,8844,6277,8.346512
Islington,49568,31900,21705,47111,35857,20857,30.494309
Kensington and Chelsea,111985,89587,63589,110319,93792,64044,73.308967
Kingston upon Thames,0,0,0,0,0,0,0
Lambeth,230442,148128,95284,223155,142105,96352,141.158681
Lewisham,0,0,0,0,0,0,0
Merton,29990,24120,15216,30630,24138,15714,19.671146
Newham,125975,117012,78377,116577,109598,73668,82.120031
Redbridge,32273,21402,13376,31837,21379,14321,20.078565
Richmond upon Thames,18507,19438,11644,18723,17932,11079,12.703087
Southwark,235857,161477,103600,224568,156832,100022,145.053291
Sutton,0,0,0,0,0,0,0
Tower Hamlets,236531,145397,108759,233997,142575,108232,146.820597
Waltham Forest,64383,49911,35223,68117,50846,37639,43.060722
Wandsworth,95084,70445,45583,91175,63002,45772,59.452716
Westminster,3307,1654,1067,2873,1671,1001,1.858452
Inner London,0,0,0,0,0,0,0
Outer London,0,0,0,0,0,0,0
London,0,0,0,0,0,0,0
England,0,0,0,0,0,0,0

